Date - Time (PHT)	Latitude (°N)	Longitude (°E)	Depth of Focus (km)	Magnitude	Location	URL
01 January 2020 - 12:38 AM	10.41	125.27	001	2.0	006 km N 17° E of Hinundayan (Southern Leyte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2019_1231_1638_B2.html
01 January 2020 - 01:09 AM	10.40	125.25	001	1.9	005 km North° 00 of Hinundayan (Southern Leyte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2019_1231_1709_B2.html
01 January 2020 - 02:01 AM	06.66	125.13	013	2.2	010 km N 85° W of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2019_1231_1801_B2.html
01 January 2020 - 02:34 AM	05.63	126.31	077	3.3	082 km S 70° E of Jose Abad Santos (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2019_1231_1834_B2.html
01 January 2020 - 04:19 AM	06.74	125.2	013	2.5	004 km N 27° W of Magsaysay (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2019_1231_2019_B2.html
01 January 2020 - 05:32 AM	08.28	125.47	039	2.8	022 km N 47° E of Cabanglasan (Bukidnon)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2019_1231_2132_B2.html
01 January 2020 - 05:45 AM	06.52	125.27	011	3.3	013 km S 43° W of Sulop (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2019_1231_2145_B2F.html
01 January 2020 - 06:56 AM	06.72	125.11	012	3.2	014 km S 59° W of Bansalan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2019_1231_2256_B2.html
01 January 2020 - 09:40 AM	15.58	119.14	015	2.5	083 km N 79° W of Palauig (Zambales)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_0140_B2.html
01 January 2020 - 09:55 AM	06.92	125.08	033	2.0	004 km S 09° W of Makilala (Cotabato)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_0155_B2.html
01 January 2020 - 12:37 PM	09.24	123.17	008	2.9	012 km S 65° W of Luzurriaga (Valencia) (Negros Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_0437_B2.html
01 January 2020 - 01:54 PM	09.17	122.42	008	3.2	037 km S 42° W of Basay (Negros Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_0554_B2.html
01 January 2020 - 03:41 PM	16.15	120.89	028	1.7	005 km S 82° W of Santa Fe (Nueva Vizcaya)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_0741_B2.html
01 January 2020 - 04:03 PM	06.53	125.27	002	3.6	015 km S 22° E of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_0803_B3F.html
01 January 2020 - 04:49 PM	06.63	125.21	010	2.7	003 km S 07° W of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_0849_B2F.html
01 January 2020 - 05:07 PM	06.50	125.09	010	2.0	017 km S 72° E of Lutayan (Sultan Kudarat)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_0907_B2F.html
01 January 2020 - 06:49 PM	06.65	125.02	022	3.3	022 km S 89° W of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_1049_B2.html
01 January 2020 - 07:15 PM	06.54	125.08	032	2.0	020 km S 48° W of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_1115_B2F.html
01 January 2020 - 07:20 PM	14.10	120.42	180	2.9	022 km N 85° W of Nasugbu (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_1120_B2.html
01 January 2020 - 08:23 PM	06.71	125.17	017	2.4	006 km S 84° W of Magsaysay (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_1223_B2.html
01 January 2020 - 09:48 PM	08.64	126.57	015	1.8	035 km S 59° E of Marihatag (Surigao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_1348_B2.html
01 January 2020 - 10:12 PM	10.01	126.03	014	2.1	002 km S 40° W of Santa Monica (Sapao) (Surigao Del Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_1412_B2.html
01 January 2020 - 10:31 PM	11.79	126.15	001	2.4	076 km N 87° E of San Julian (Eastern Samar)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_1431_B2.html
01 January 2020 - 10:58 PM	11.82	126.13	001	2.4	074 km S 71° E of Dolores (Eastern Samar)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_1458_B2.html
01 January 2020 - 11:30 PM	09.96	122.35	027	1.6	023 km N 16° W of Sipalay City (Negros Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_1530_B2.html
01 January 2020 - 11:51 PM	07.61	124.86	003	1.8	007 km N 74° W of Kadingilan (Bukidnon)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_1551_B2.html
02 January 2020 - 12:05 AM	10.22	125.25	034	1.7	006 km S 06° W of Anahawan (Southern Leyte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_1605_B2.html
02 January 2020 - 12:33 AM	06.61	126.26	023	2.2	020 km S 77° E of Governor Generoso (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_1633_B2.html
02 January 2020 - 01:00 AM	07.00	124.83	015	2.8	012 km N 50° W of M'lang (Cotabato)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_1700_B2.html
02 January 2020 - 02:48 AM	06.57	125.32	030	3.3	004 km S 35° W of Sulop (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_1848_B2F.html
02 January 2020 - 03:25 AM	10.17	125.25	031	1.9	011 km S 06° W of Anahawan (Southern Leyte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_1925_B2.html
02 January 2020 - 07:04 AM	13.63	120.61	105	2.6	023 km S 06° W of Calatagan (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0101_2304_B2.html
02 January 2020 - 08:05 AM	16.30	122.17	009	2.5	005 km N 59° E of Casiguran (Aurora)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_0005_B2.html
02 January 2020 - 08:36 AM	13.73	120.51	087	2.8	017 km S 52° W of Calatagan (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_0036_B2.html
02 January 2020 - 08:42 AM	06.60	125.21	012	2.8	006 km S 05° W of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_0042_B2F.html
02 January 2020 - 01:19 PM	09.15	125.53	001	2.5	004 km N 36° W of Cabadbaran (Agusan Del Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_0519_B2.html
02 January 2020 - 04:14 PM	11.44	124.94	013	2.5	006 km S 34° E of Santa Rita (Samar)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_0814_B2.html
02 January 2020 - 04:49 PM	09.43	126.32	037	2.0	022 km N 41° E of Cortes (Surigao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_0849_B2.html
02 January 2020 - 05:24 PM	09.74	124.09	032	2.1	004 km N 12° W of Bilar (Bohol)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_0924_B2.html
02 January 2020 - 05:30 PM	10.04	126.23	023	3.7	018 km N 82° E of Burgos (Surigao Del Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_0930_B2.html
02 January 2020 - 06:52 PM	19.79	121.6	008	2.3	058 km N 15° E of Calayan (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_1052_B2.html
02 January 2020 - 09:22 PM	08.70	126.78	001	2.6	054 km S 78° E of Marihatag (Surigao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_1322_B2.html
02 January 2020 - 09:27 PM	09.54	122.09	004	2.9	042 km S 55° W of Sipalay City (Negros Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_1327_B2.html
02 January 2020 - 09:49 PM	06.70	124.93	025	2.5	012 km S 59° E of Datu Paglas (Maguindanao)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_1349_B2.html
02 January 2020 - 10:00 PM	17.45	122.17	018	2.8	011 km N 46° W of Maconacon (Isabela)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_1400_B2.html
02 January 2020 - 10:24 PM	09.62	121.97	002	2.5	050 km S 72° W of Sipalay City (Negros Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_1424_B2.html
03 January 2020 - 12:02 AM	13.99	121	034	2.1	008 km N 39° E of San Nicolas (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_1602_B2.html
03 January 2020 - 12:45 AM	06.52	125.25	018	2.3	015 km S 17° E of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_1645_B2.html
03 January 2020 - 01:11 AM	06.68	125.29	033	2.4	007 km S 48° E of Matanao (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_1711_B2.html
03 January 2020 - 02:39 AM	13.67	120.57	176	2.2	019 km S 20° W of Calatagan (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_1839_B2.html
03 January 2020 - 02:46 AM	10.37	122.83	087	1.9	012 km N 06° W of Ilog (Negros Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_1846_B2.html
03 January 2020 - 02:57 AM	14.21	120.47	120	2.5	022 km N 49° W of Nasugbu (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_1857_B2.html
03 January 2020 - 03:58 AM	08.96	127.22	047	2.5	101 km N 87° E of Cagwait (Surigao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0102_1958_B2.html
